task,init_policy,round,edgeCut,swaps,migrations,delta,OutFile,delta
1,BATCH,999,41260,889032,1463,0.003,./output/twitter.graph_NS_HYBRID_GICP_BATCH_T_2.0_D_0.003_RNSS_3_URSS_6_A_2.0_SA_0_RE_0_RE_R_400_R_1000.txt,0.003
1,ROUND_ROBIN,999,41156,899515,2049,0.003,./output/twitter.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_2.0_D_0.003_RNSS_3_URSS_6_A_2.0_SA_0_RE_0_RE_R_400_R_1000.txt,0.003
2.1,BATCH,999,41288,2636632,1312,0.967,./output/twitter.graph_NS_HYBRID_GICP_BATCH_T_1.0_D_0.967_RNSS_3_URSS_6_A_2.0_SA_1_RE_0_RE_R_400_R_1000.txt,0.967
2.1,ROUND_ROBIN,999,41121,2636398,2037,0.933,./output/twitter.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_1.0_D_0.933_RNSS_3_URSS_6_A_2.0_SA_1_RE_0_RE_R_400_R_1000.txt,0.933
2.2,BATCH,999,41327,2637466,1295,0.8,./output/twitter.graph_NS_HYBRID_GICP_BATCH_T_2.0_D_0.8_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.8
2.2,ROUND_ROBIN,999,41106,2639352,2045,0.9,./output/twitter.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_2.0_D_0.9_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.9
Opt,BATCH,999,41317,12312,1284,0.85,./output/twitter.graph_NS_HYBRID_GICP_BATCH_T_1.0_D_0.85_RNSS_3_URSS_6_A_2.0_SA_1_RE_0_RE_R_400_R_1000.txt,0.85
Opt,ROUND_ROBIN,999,41148,12868,2031,0.85,./output/twitter.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_1.0_D_0.85_RNSS_3_URSS_6_A_2.0_SA_1_RE_0_RE_R_400_R_1000.txt,0.85
