task,init_policy,round,edgeCut,swaps,migrations,delta,OutFile,delta
1,BATCH,999,381,1578675,121,0.003,./output/3elt.graph_NS_HYBRID_GICP_BATCH_T_2.0_D_0.003_RNSS_3_URSS_6_A_2.0_SA_0_RE_0_RE_R_400_R_1000.txt,0.003
1,ROUND_ROBIN,999,2604,1580209,3328,0.003,./output/3elt.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_2.0_D_0.003_RNSS_3_URSS_6_A_2.0_SA_0_RE_0_RE_R_400_R_1000.txt,0.003
2.1,BATCH,999,422,4719427,130,0.967,./output/3elt.graph_NS_HYBRID_GICP_BATCH_T_1.0_D_0.967_RNSS_3_URSS_6_A_2.0_SA_1_RE_0_RE_R_400_R_1000.txt,0.967
2.1,ROUND_ROBIN,999,2392,4714765,3332,0.8,./output/3elt.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_1.0_D_0.8_RNSS_3_URSS_6_A_2.0_SA_1_RE_0_RE_R_400_R_1000.txt,0.8
2.2,BATCH,999,411,4719341,142,0.8,./output/3elt.graph_NS_HYBRID_GICP_BATCH_T_2.0_D_0.8_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.8
2.2,ROUND_ROBIN,999,2439,4715019,3302,0.85,./output/3elt.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_2.0_D_0.85_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.85
Opt,BATCH,999,368,38084,131,0.9,./output/3elt.graph_NS_HYBRID_GICP_BATCH_T_1.0_D_0.9_RNSS_3_URSS_6_A_2.0_SA_1_RE_0_RE_R_400_R_1000.txt,0.9
Opt,ROUND_ROBIN,999,1767,45083,3368,0.85,./output/3elt.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_1.0_D_0.85_RNSS_3_URSS_6_A_2.0_SA_1_RE_0_RE_R_400_R_1000.txt,0.85
