,round,edgeCut,swaps,migrations,GraphInfo,OutFile,delta
0,999,41327,2637466,1295,"[""b'2020-12-07 18:23:18 INFO  GraphReader:54 - ./graphs/twitter.graph. Nodes: 2731, Edges: 164629"", '2020-12-07 18:23:19 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 682 ] [ Color: 1, Count: 683 ] [ Color: 2, Count: 683 ] [ Color: 3, Count: 683 ] ']",./output/twitter.graph_NS_HYBRID_GICP_BATCH_T_2.0_D_0.8_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.8
1,999,41934,2627414,1324,"[""b'2020-12-07 18:25:06 INFO  GraphReader:54 - ./graphs/twitter.graph. Nodes: 2731, Edges: 164629"", '2020-12-07 18:25:06 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 682 ] [ Color: 1, Count: 683 ] [ Color: 2, Count: 683 ] [ Color: 3, Count: 683 ] ']",./output/twitter.graph_NS_HYBRID_GICP_BATCH_T_2.0_D_0.85_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.85
2,999,41328,2633905,1300,"[""b'2020-12-07 18:27:06 INFO  GraphReader:54 - ./graphs/twitter.graph. Nodes: 2731, Edges: 164629"", '2020-12-07 18:27:06 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 682 ] [ Color: 1, Count: 683 ] [ Color: 2, Count: 683 ] [ Color: 3, Count: 683 ] ']",./output/twitter.graph_NS_HYBRID_GICP_BATCH_T_2.0_D_0.9_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.9
3,999,41333,2635836,1299,"[""b'2020-12-07 18:28:48 INFO  GraphReader:54 - ./graphs/twitter.graph. Nodes: 2731, Edges: 164629"", '2020-12-07 18:28:48 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 682 ] [ Color: 1, Count: 683 ] [ Color: 2, Count: 683 ] [ Color: 3, Count: 683 ] ']",./output/twitter.graph_NS_HYBRID_GICP_BATCH_T_2.0_D_0.95_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.95
