,round,edgeCut,swaps,migrations,GraphInfo,OutFile,delta
0,999,2508,4714591,3314,"[""b'2020-12-07 18:12:56 INFO  GraphReader:54 - ./graphs/3elt.graph. Nodes: 4720, Edges: 13722"", '2020-12-07 18:12:56 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 1180 ] [ Color: 1, Count: 1180 ] [ Color: 2, Count: 1180 ] [ Color: 3, Count: 1180 ] ']",./output/3elt.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_2.0_D_0.8_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.8
1,999,2439,4715019,3302,"[""b'2020-12-07 18:13:04 INFO  GraphReader:54 - ./graphs/3elt.graph. Nodes: 4720, Edges: 13722"", '2020-12-07 18:13:04 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 1180 ] [ Color: 1, Count: 1180 ] [ Color: 2, Count: 1180 ] [ Color: 3, Count: 1180 ] ']",./output/3elt.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_2.0_D_0.85_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.85
2,999,2467,4714608,3340,"[""b'2020-12-07 18:13:13 INFO  GraphReader:54 - ./graphs/3elt.graph. Nodes: 4720, Edges: 13722"", '2020-12-07 18:13:13 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 1180 ] [ Color: 1, Count: 1180 ] [ Color: 2, Count: 1180 ] [ Color: 3, Count: 1180 ] ']",./output/3elt.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_2.0_D_0.9_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.9
3,999,2442,4714801,3318,"[""b'2020-12-07 18:13:21 INFO  GraphReader:54 - ./graphs/3elt.graph. Nodes: 4720, Edges: 13722"", '2020-12-07 18:13:21 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 1180 ] [ Color: 1, Count: 1180 ] [ Color: 2, Count: 1180 ] [ Color: 3, Count: 1180 ] ']",./output/3elt.graph_NS_HYBRID_GICP_ROUND_ROBIN_T_2.0_D_0.95_RNSS_3_URSS_6_A_2.0_SA_1_RE_1_RE_R_400_R_1000.txt,0.95
